date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:03	438/438	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:02%20GMT	https://www.prestigeconstructions.com/kn/nri-corner	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/nri-corner	(from https://www.prestigeconstructions.com/kn/news/2025/august)
12:12:03	438/438	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:02%20GMT	https://www.prestigeconstructions.com/kn/nri-corner	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/nri-corner	(from https://www.prestigeconstructions.com/kn/news/2025/august)
12:12:03	414/414	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:03%20GMT	https://www.prestigeconstructions.com/kn/blog	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/blog	(from https://www.prestigeconstructions.com/kn/news/2025/august)
12:12:04	81/81	---MC-	302	error ('Found')	text/html	date:Tue,%2025%20Aug%202026%2006:42:03%20GMT	https://www.prestigeconstructions.com/kn/news/2023/july	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/news/2023/july	(from https://www.prestigeconstructions.com/kn/news/2025/august)
12:12:04	5584/5584	---MCZ	200	added ('OK')	text/css	etag:W/%220834b6be56ecee5840cbcc80fce88ae9%22	https://d1t2fddy6amcvs.cloudfront.net/css/pgchat.min.css?ver=1787581528	C:/My%20Web%20Sites/Prestige/d1t2fddy6amcvs.cloudfront.net/css/pgchat.mincecf.css	(from https://www.prestigeconstructions.com/kn/news/2025/august)
12:12:04	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787581530034	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dotad3fe.js	(from https://www.prestigeconstructions.com/kn/news/2025/august)
12:12:04	438/438	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:04%20GMT	https://www.prestigeconstructions.com/kn/nri-corner	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/nri-corner	(from https://www.prestigeconstructions.com/kn/news/2025/july)
12:12:05	438/438	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:04%20GMT	https://www.prestigeconstructions.com/kn/nri-corner	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/nri-corner	(from https://www.prestigeconstructions.com/kn/news/2025/july)
12:12:05	414/414	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:04%20GMT	https://www.prestigeconstructions.com/kn/blog	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/blog	(from https://www.prestigeconstructions.com/kn/news/2025/july)
12:12:05	81/81	---MC-	302	error ('Found')	text/html	date:Tue,%2025%20Aug%202026%2006:42:05%20GMT	https://www.prestigeconstructions.com/kn/news/2023/july	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/news/2023/july	(from https://www.prestigeconstructions.com/kn/news/2025/july)
12:12:06	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787581529977	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dota0676.js	(from https://www.prestigeconstructions.com/kn/news/2025/july)
12:12:06	199/199	---M--	403	error ('Forbidden')	text/html	date:Tue,%2025%20Aug%202026%2006:42:05%20GMT	https://www.prestigeconstructions.com/kn/nri-corner	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/nri-corner	(from https://www.prestigeconstructions.com/kn/news/2025/june)
12:12:06	414/414	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Aug%202026%2006:42:06%20GMT	https://www.prestigeconstructions.com/kn/blog	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/kn/blog	(from https://www.prestigeconstructions.com/kn/news/2025/june)
